u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
464,722,0,0,1288,30035,1,3942,42,1581094.0,
16736,23715,0,0,0,0,0,0,0,7.0,
119,1724,0,0,773,24997,1,1556,1,1624892.0,
69,2757,0,0,2,242,1,158,1,559699.0,
10304,20192,0,0,0,0,0,0,0,1.0,
565,661,0,0,1114,28644,1,5617,22,1621740.0,
73500,73501,0,0,0,0,0,0,0,1.0,
933,1326,0,0,631,22687,1,4503,2,1578028.0,
134,5246,0,0,619,22480,1,3473,1,1707861.0,
593,1173,0,0,1224,29527,1,2751,12,1498030.0,
173,1371,0,0,92,8496,1,2473,2,2113796.0,
1752,4388,0,0,1286,30066,1,1819,12,1563323.0,
780,8517,0,0,0,0,0,0,0,9.0,
2494,3242,0,0,1195,29497,1,3112,5,1553384.0,
8467,13050,0,0,0,0,0,0,0,1.0,
1573,12992,0,0,715,23935,1,6651,2,1615629.0,
335,12582,0,0,206,15274,1,1999,4,2171880.0,
1632,8069,0,0,0,0,0,0,0,1.0,
1475,30654,0,0,0,0,0,0,0,12.0,
517,2146,0,0,739,24584,1,901,1,1345346.0,
11473,37518,0,0,2,27,1,8,1,1540857.0,
722,7106,0,0,541,20976,1,21517,1,1871122.0,
16243,38377,0,0,0,0,0,0,0,2.0,
12829,27711,0,0,19,123,1,40,7,1609350.0,
9020,42402,0,0,0,0,0,0,0,4.0,
122,530,0,0,1345,30731,1,4447,21,1617417.0,
6510,17857,0,0,0,0,0,0,0,2.0,
8428,9061,0,0,0,0,0,0,0,1.0,
363,1999,0,0,20,2721,1,1760,18,1732413.0,
3822,55207,0,0,0,0,0,0,0,1.0,
22567,37145,0,0,0,0,0,0,0,2.0,
633,814,0,0,520,20592,1,2144,2,1393530.0,
338,344,0,0,718,24108,1,4086,58,1711059.0,
2604,18826,0,0,1345,30503,1,2433,21,1635778.0,
1745,2720,0,0,0,0,0,0,0,5.0,
737,1130,0,0,5,481,1,49,1,1642086.0,
8540,16998,0,0,0,0,0,0,0,1.0,
13399,22591,0,0,2,26,1,13,1,1621934.0,
4347,6407,0,0,0,0,0,0,0,2.0,
539,42692,0,0,0,0,0,0,0,3.0,
12991,13010,0,0,0,0,0,0,0,1.0,
1152,2421,0,0,970,27224,1,2071,2,1570508.0,
55729,69004,0,0,0,0,0,0,0,1.0,
89,7022,0,0,3,374,1,138,2,1259810.0,
566,71904,0,0,0,0,0,0,0,6.0,
42,1394,0,0,408,19181,1,3084,1,1645741.0,
1120,13032,0,0,1238,29821,1,1644,0,1538777.0,
1961,6002,0,0,0,0,0,0,0,6.0,
727,9739,0,0,0,0,0,0,0,4.0,
114,1108,0,0,1456,31961,1,6492,61,1655141.0,
522,673,0,0,1196,29453,1,3821,23,1551895.0,
4722,5361,0,0,0,0,0,0,0,3.0,
19402,68090,0,0,0,0,0,0,0,11.0,
1116,71914,0,0,0,0,0,0,0,9.0,
528,6145,0,0,545,21026,1,612,3,1352004.0,
9603,31406,0,0,0,0,0,0,0,10.0,
3104,4955,0,0,1276,30222,1,4106,12,1638912.0,
1937,15787,0,0,0,0,0,0,0,11.0,
8811,25893,0,0,0,0,0,0,0,10.0,
2538,8496,0,0,1213,29510,1,1644,1,1583514.0,
280,29256,0,0,0,0,0,0,0,2.0,
717,1931,0,0,477,19767,1,2573,1,1985987.0,
274,509,0,0,1265,29906,1,1907,33,1565427.0,
643,646,0,0,1202,29327,1,5451,9,1655875.0,
29186,29188,0,0,0,0,0,0,0,3.0,
4466,27283,0,0,0,0,0,0,0,0.0,
3978,16098,0,0,0,0,0,0,0,5.0,
711,3979,0,0,478,19920,1,2916,1,1956545.0,
30428,47764,0,0,0,0,0,0,0,2.0,
5260,14935,0,0,0,0,0,0,0,4.0,
2137,21739,0,0,0,0,0,0,0,8.0,
5195,20848,0,0,1180,29277,1,4631,0,1472002.0,
1956,42676,0,0,0,0,0,0,0,4.0,
1533,1578,0,0,1083,28516,1,1956,1,1670331.0,
537,5001,0,0,0,0,0,0,0,1.0,
270,435,0,0,745,24634,1,2120,2,1609835.0,
3271,18579,0,0,0,0,0,0,0,6.0,
3000,3020,0,0,1291,30066,1,3556,14,1615466.0,
154,1169,0,0,1274,30044,1,3170,29,1649877.0,
37331,61005,0,0,0,0,0,0,0,7.0,
71,1229,0,0,347,17434,1,1934,1,1921926.0,
186,2646,0,0,1355,30692,1,32047,87,1918040.0,
306,1972,0,0,1270,29907,1,5577,47,1856543.0,
