u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
54473,55893,0,0,3,26,1,22,1,484.0,
50610,187586,0,0,2,21,1,15,1,137703.0,
955,15995,0,0,2,26,1,8,0,171032.0,
10266,105812,0,0,0,0,0,0,0,0.0,
8155,68131,0,0,3,90,1,74,1,223913.0,
53904,77985,0,0,270,6229,1,1740,10,98142.0,
9657,82872,0,1,19818,0,1,0,0,202320.0,
3901,38962,0,0,0,0,0,0,0,1.0,
107455,175554,1,1,19818,0,1,0,0,224498.0,
10224,293232,2,1,19818,0,1,0,0,246153.0,
58084,231816,0,0,36,1859,1,1695,2,84819.0,
76049,139258,0,0,2,23,1,9,0,216562.0,
285320,285321,0,0,2,10,1,2,2,47883.0,
48475,48479,0,0,4,9,1,6,4,417.0,
23570,38515,0,0,0,0,0,0,0,0.0,
262799,262805,0,0,3,6,1,6,2,228406.0,
60220,87229,0,0,22,630,1,536,2,188529.0,
263345,263346,0,0,3,2,1,5,3,627.0,
173572,201613,0,0,10,114,1,13,10,1078.0,
40191,40211,0,0,4,28,1,23,3,683.0,
14484,14486,0,0,5,20,1,9,4,484.0,
14991,14993,1,1,19818,0,1,0,0,232905.0,
200701,200705,0,0,3,3,1,5,2,456.0,
124362,287075,0,0,2,13,1,9,1,82231.0,
192131,271671,0,0,0,0,0,0,0,0.0,
178024,285231,0,0,22,75,1,24,22,10134.0,
253104,253107,0,0,15,12,1,15,15,874.0,
7357,84977,0,0,304,7123,1,1823,9,198533.0,
15299,38842,1,1,19818,0,1,0,0,201998.0,
8448,64805,0,0,35,1816,1,804,0,59715.0,
168838,276464,0,0,7,13,1,10,7,612.0,
113269,252606,0,0,3,33,1,24,2,678.0,
17555,116551,0,0,11,319,1,248,4,160803.0,
62750,62755,0,0,5,2,1,6,5,450.0,
40636,59501,0,0,3,105,1,74,2,255184.0,
40109,101944,0,0,4,55,1,30,3,107135.0,
223958,223961,1,1,19818,0,1,0,0,172248.0,
25315,34834,0,0,8,235,1,34,7,104811.0,
189964,240337,0,0,9,83,1,38,6,264458.0,
37852,42689,0,0,2,6,1,4,1,773.0,
76064,76430,0,0,15,898,1,742,1,259189.0,
245756,245760,0,0,5,1,1,6,5,691.0,
63250,229976,0,0,0,0,0,0,0,1.0,
10999,61619,0,0,7,143,1,33,6,230155.0,
216767,235605,0,0,3,24,1,18,2,553.0,
15196,148667,0,0,8,93,1,19,6,88486.0,
6751,12111,0,0,2,8,1,7,1,520.0,
1842,149694,0,0,5,134,1,90,2,170062.0,
14249,57982,0,0,3,18,1,13,2,817.0,
57383,105366,0,0,9,46,1,15,9,517.0,
32500,88873,0,0,2,8,1,4,2,216589.0,
172897,172899,0,0,4,4,1,6,4,860.0,
285724,285734,0,0,20,50,1,20,20,979.0,
277521,277523,0,0,2,3,1,3,1,666.0,
48250,224201,0,0,16,141,1,23,16,1308.0,
167024,204415,0,0,3,12,1,11,2,945.0,
8095,32033,0,0,0,0,0,0,0,1.0,
32050,32051,0,0,9,57,1,23,9,43213.0,
144763,276860,0,0,12,127,1,81,2,191702.0,
168,80140,0,0,2,113,1,90,1,164240.0,
156001,166248,0,0,6,24,1,23,4,674.0,
69862,116648,0,0,198,4427,1,2423,8,165679.0,
233249,233250,0,0,3,2,1,4,3,213534.0,
79451,287974,1,1,19818,0,1,0,0,211015.0,
