(3, 6)
(3, 8)
(0, 3)
(3, 39)
(1, 4)
(3, 18)
(4, 22)
(4, 14)
(0, 6)
(1, 6)
(2, 4)
(3, 4)
(4, 39)
(4, 5)
(4, 7)
(4, 10)
(4, 11)
(4, 8)
(4, 9)
(4, 12)
(4, 13)
(4, 15)
(4, 16)
(4, 17)
(4, 18)
(4, 19)
(4, 20)
(4, 21)
(4, 24)
(4, 25)
(4, 26)
(4, 28)
(4, 29)
(4, 30)
(4, 31)
(4, 32)
(4, 33)
(4, 34)
(4, 35)
(4, 36)
(4, 37)
(4, 38)
(5, 6)
(9, 36)
(8, 39)
(8, 14)
(1, 17)
(2, 20)
(0, 8)
(0, 18)
(2, 3)
(3, 14)
(3, 5)
(3, 10)
(3, 13)
(3, 19)
(3, 12)
(3, 7)
(3, 9)
(3, 11)
(3, 15)
(3, 16)
(3, 17)
(3, 20)
(3, 21)
(3, 22)
(3, 24)
(3, 25)
(3, 26)
(3, 27)
(3, 28)
(3, 29)
(3, 30)
(3, 31)
(3, 32)
(3, 33)
(3, 34)
(6, 7)
(0, 22)
(1, 2)
(1, 8)
(3, 35)
(3, 36)
(3, 37)
(5, 18)
(2, 35)
(2, 14)
(5, 26)
(9, 10)
(8, 22)
(0, 17)
(1, 5)
(0, 38)
(10, 11)
(12, 23)
(10, 30)
(6, 18)
(13, 18)
(13, 23)
(13, 24)
(16, 23)
(15, 16)
(14, 23)
(18, 23)
(19, 23)
(19, 35)
(19, 21)
(19, 34)
(23, 24)
(23, 27)
(23, 33)
(23, 34)
(24, 27)
(20, 23)
(21, 33)
(16, 33)
(1, 9)
(2, 5)
(7, 9)
(11, 14)
(2, 33)
(23, 25)
(23, 26)
(23, 28)
(23, 29)
(23, 30)
(23, 31)
(23, 32)
(23, 35)
(23, 36)
(23, 37)
(23, 38)
