dataset,s,r,tree_build_ms,prog_time_ms,num_leaves,clique_index_ms,max_rss_kb,exit_status,cmd,timestamp
/data1/wenqianz/com-dblp.edges,2,8,511.48,444.0,26257.0,,453184.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 8,2025-08-31 02:07:32
/data1/wenqianz/com-dblp.edges,2,9,496.386,369.0,18537.0,,374648.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 9,2025-08-31 02:07:33
/data1/wenqianz/com-dblp.edges,2,10,500.376,333.0,13829.0,,326488.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 10,2025-08-31 02:07:35
/data1/wenqianz/com-dblp.edges,2,11,494.863,296.0,10730.0,,294196.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 11,2025-08-31 02:07:36
/data1/wenqianz/com-dblp.edges,2,12,611.907,333.0,8574.0,,271828.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 12,2025-08-31 02:07:38
/data1/wenqianz/com-dblp.edges,2,13,615.948,313.0,6995.0,,255004.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 13,2025-08-31 02:07:40
/data1/wenqianz/com-dblp.edges,2,14,496.677,240.0,5799.0,,242676.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 14,2025-08-31 02:07:41
/data1/wenqianz/com-dblp.edges,2,15,614.213,296.0,4895.0,,233396.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 15,2025-08-31 02:07:43
/data1/wenqianz/com-dblp.edges,2,16,612.684,314.0,4201.0,,231656.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 16,2025-08-31 02:07:44
/data1/wenqianz/com-dblp.edges,2,17,611.974,317.0,3654.0,,231408.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 17,2025-08-31 02:07:46
/data1/wenqianz/com-dblp.edges,2,18,616.442,302.0,3215.0,,231136.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 18,2025-08-31 02:07:48
/data1/wenqianz/com-dblp.edges,2,19,614.593,343.0,2844.0,,230724.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 19,2025-08-31 02:07:50
/data1/wenqianz/com-dblp.edges,2,20,610.196,342.0,2519.0,,230800.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 20,2025-08-31 02:07:51
/data1/wenqianz/com-dblp.edges,2,21,609.26,283.0,2230.0,,230460.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 21,2025-08-31 02:07:53
/data1/wenqianz/com-dblp.edges,2,22,616.064,256.0,1975.0,,230148.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 22,2025-08-31 02:07:55
/data1/wenqianz/com-dblp.edges,2,23,607.406,310.0,1754.0,,230120.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 23,2025-08-31 02:07:56
/data1/wenqianz/com-dblp.edges,2,24,610.27,361.0,1566.0,,229752.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 24,2025-08-31 02:07:58
/data1/wenqianz/com-dblp.edges,2,25,608.474,314.0,1395.0,,229620.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 25,2025-08-31 02:08:00
/data1/wenqianz/com-dblp.edges,2,26,606.132,244.0,1240.0,,229460.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 26,2025-08-31 02:08:01
/data1/wenqianz/com-dblp.edges,2,27,499.319,320.0,1100.0,,229468.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 27,2025-08-31 02:08:03
/data1/wenqianz/com-dblp.edges,2,28,608.398,292.0,975.0,,229172.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 28,2025-08-31 02:08:04
/data1/wenqianz/com-dblp.edges,2,29,494.001,266.0,866.0,,229084.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 29,2025-08-31 02:08:06
/data1/wenqianz/com-dblp.edges,2,30,607.453,382.0,769.0,,229004.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 30,2025-08-31 02:08:07
/data1/wenqianz/com-dblp.edges,3,4,659.185,4960.0,247029.0,341.655,2280200.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 4,2025-08-31 02:08:09
/data1/wenqianz/com-dblp.edges,3,5,517.95,4525.0,123565.0,236.161,2118684.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 5,2025-08-31 02:08:16
/data1/wenqianz/com-dblp.edges,3,6,631.288,4086.0,66739.0,234.165,1838744.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 6,2025-08-31 02:08:22
/data1/wenqianz/com-dblp.edges,3,7,501.817,3650.0,40000.0,166.739,1628964.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 7,2025-08-31 02:08:27
/data1/wenqianz/com-dblp.edges,3,8,621.856,3507.0,26257.0,179.86,1470624.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 8,2025-08-31 02:08:32
/data1/wenqianz/com-dblp.edges,3,9,615.888,3345.0,18537.0,163.762,1354608.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 9,2025-08-31 02:08:37
/data1/wenqianz/com-dblp.edges,3,10,615.341,3180.0,13829.0,151.693,1264292.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 10,2025-08-31 02:08:42
/data1/wenqianz/com-dblp.edges,3,11,495.844,2997.0,10730.0,117.875,1179540.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 11,2025-08-31 02:08:46
/data1/wenqianz/com-dblp.edges,3,12,493.248,2853.0,8574.0,111.348,1116392.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 12,2025-08-31 02:08:50
/data1/wenqianz/com-dblp.edges,3,13,614.739,2948.0,6995.0,127.253,1060672.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 13,2025-08-31 02:08:54
/data1/wenqianz/com-dblp.edges,3,14,498.065,2690.0,5799.0,100.796,1006380.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 14,2025-08-31 02:08:59
/data1/wenqianz/com-dblp.edges,3,15,622.127,2707.0,4895.0,117.229,964416.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 15,2025-08-31 02:09:03
/data1/wenqianz/com-dblp.edges,3,16,496.778,5151.0,4201.0,93.1812,1183608.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 16,2025-08-31 02:09:07
/data1/wenqianz/com-dblp.edges,3,17,609.074,7125.0,3654.0,108.372,1279876.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 17,2025-08-31 02:09:13
/data1/wenqianz/com-dblp.edges,3,18,612.219,9579.0,3215.0,104.961,1308492.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 18,2025-08-31 02:09:22
/data1/wenqianz/com-dblp.edges,3,19,491.697,,2844.0,86.1855,1177376.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 19,2025-08-31 02:09:33
/data1/wenqianz/com-dblp.edges,3,20,610.519,3586255.0,2519.0,100.192,150110708.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 20,2025-08-31 04:18:09
/data1/wenqianz/com-dblp.edges,3,21,615.055,69124.0,2230.0,97.2926,4965036.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 21,2025-08-31 05:18:04
/data1/wenqianz/com-dblp.edges,3,22,615.092,14421806.0,1975.0,93.8407,1228080.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 22,2025-08-31 05:19:15
/data1/wenqianz/com-dblp.edges,3,23,608.994,3239059.0,1754.0,91.7207,2554036.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 23,2025-08-31 09:19:38
