meta	phase	duration_ms	rss_kb	delta_rss_kb	component_bytes
graph=com-youtube,r=1,s=5,algo=ref,run=0	REF_initSupports	54.1399	365256	0	9079128
graph=com-youtube,r=1,s=5,algo=ref,run=0	REF_heapBuild	56.8297	457188	91932	70560260
graph=com-youtube,r=1,s=5,algo=ref,run=0	REF_peel_loop	578.815	657564	200376	0
graph=com-youtube,r=1,s=5,algo=ref,run=0	dispatch_total	113.967	624120	-33444	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	loadAndSort	2012.4	111892	109736	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	buildSDCT	3684.09	384456	272564	25855560
graph=com-youtube,r=1,s=5,algo=ref,run=1	preMutation	0.668905	384456	0	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	prepareGraph	69.3679	365032	-19424	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	REF_initSupports	53.9648	365032	0	9079128
graph=com-youtube,r=1,s=5,algo=ref,run=1	REF_heapBuild	56.6256	456904	91872	70560260
graph=com-youtube,r=1,s=5,algo=ref,run=1	REF_peel_loop	582.64	657280	200376	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	dispatch_total	110.78	623832	-33448	0
graph=com-youtube,r=1,s=5,algo=ref,run=2	loadAndSort	1728.4	112124	110000	0
graph=com-youtube,r=1,s=5,algo=ref,run=2	buildSDCT	3681.24	384748	272624	25855560
graph=com-youtube,r=1,s=5,algo=ref,run=2	preMutation	0.686843	384748	0	0
graph=com-youtube,r=1,s=5,algo=ref,run=2	prepareGraph	70.1488	365328	-19420	0
graph=com-youtube,r=1,s=5,algo=ref,run=2	REF_initSupports	54.1422	365328	0	9079128
graph=com-youtube,r=1,s=5,algo=ref,run=2	REF_heapBuild	56.763	457200	91872	70560260
graph=com-youtube,r=1,s=5,algo=ref,run=2	REF_peel_loop	581.608	657576	200376	0
graph=com-youtube,r=1,s=5,algo=ref,run=2	dispatch_total	112.872	624128	-33448	0
graph=com-youtube,r=1,s=8,algo=ours,run=0	loadAndSort	2014.78	112068	109840	0
graph=com-youtube,r=1,s=8,algo=ours,run=0	buildSDCT	3427.82	188552	76484	7078296
graph=com-youtube,r=1,s=8,algo=ours,run=0	preMutation	0.704925	188552	0	0
graph=com-youtube,r=1,s=8,algo=ours,run=0	prepareGraph	84.3352	169012	-19540	0
graph=com-youtube,r=1,s=8,algo=ours,run=0	dispatch_total	84.5329	192252	23240	0
graph=com-youtube,r=1,s=8,algo=ours,run=1	loadAndSort	1962.04	112016	109844	0
graph=com-youtube,r=1,s=8,algo=ours,run=1	buildSDCT	2987.97	188504	76488	7078296
graph=com-youtube,r=1,s=8,algo=ours,run=1	preMutation	0.558576	188504	0	0
graph=com-youtube,r=1,s=8,algo=ours,run=1	prepareGraph	70.206	168964	-19540	0
graph=com-youtube,r=1,s=8,algo=ours,run=1	dispatch_total	86.4685	191992	23028	0
graph=com-youtube,r=1,s=8,algo=ours,run=2	loadAndSort	1966.92	111956	109808	0
graph=com-youtube,r=1,s=8,algo=ours,run=2	buildSDCT	2991.16	188440	76484	7078296
graph=com-youtube,r=1,s=8,algo=ours,run=2	preMutation	0.563356	188440	0	0
graph=com-youtube,r=1,s=8,algo=ours,run=2	prepareGraph	70.1183	168900	-19540	0
graph=com-youtube,r=1,s=8,algo=ours,run=2	dispatch_total	86.2804	191928	23028	0
graph=com-youtube,r=1,s=8,algo=ref,run=0	loadAndSort	1636.08	112076	109848	0
graph=com-youtube,r=1,s=8,algo=ref,run=0	buildSDCT	2986.62	250528	138452	7078296
graph=com-youtube,r=1,s=8,algo=ref,run=0	preMutation	0.465768	250528	0	0
graph=com-youtube,r=1,s=8,algo=ref,run=0	prepareGraph	68.8478	231088	-19440	0
graph=com-youtube,r=1,s=8,algo=ref,run=0	REF_initSupports	19.0311	231088	0	9079128
graph=com-youtube,r=1,s=8,algo=ref,run=0	REF_heapBuild	47.2823	293920	62832	42394364
graph=com-youtube,r=1,s=8,algo=ref,run=0	REF_peel_loop	270.24	471064	177144	0
graph=com-youtube,r=1,s=8,algo=ref,run=0	dispatch_total	40.6685	294128	-176936	0
graph=com-youtube,r=1,s=8,algo=ref,run=1	loadAndSort	1643.06	112228	110044	0
graph=com-youtube,r=1,s=8,algo=ref,run=1	buildSDCT	2986.92	250680	138452	7078296
graph=com-youtube,r=1,s=8,algo=ref,run=1	preMutation	0.47673	250680	0	0
graph=com-youtube,r=1,s=8,algo=ref,run=1	prepareGraph	69.3181	231176	-19504	0
graph=com-youtube,r=1,s=8,algo=ref,run=1	REF_initSupports	19.2082	231176	0	9079128
graph=com-youtube,r=1,s=8,algo=ref,run=1	REF_heapBuild	47.3435	294008	62832	42394364
graph=com-youtube,r=1,s=8,algo=ref,run=1	REF_peel_loop	281.526	471152	177144	0
graph=com-youtube,r=1,s=8,algo=ref,run=1	dispatch_total	37.9865	294216	-176936	0
graph=com-youtube,r=1,s=8,algo=ref,run=2	loadAndSort	1638.34	112064	109832	0
graph=com-youtube,r=1,s=8,algo=ref,run=2	buildSDCT	2981.92	250516	138452	7078296
graph=com-youtube,r=1,s=8,algo=ref,run=2	preMutation	0.476474	250516	0	0
graph=com-youtube,r=1,s=8,algo=ref,run=2	prepareGraph	69.8182	231076	-19440	0
graph=com-youtube,r=1,s=8,algo=ref,run=2	REF_initSupports	18.9186	231076	0	9079128
graph=com-youtube,r=1,s=8,algo=ref,run=2	REF_heapBuild	47.332	293908	62832	42394364
graph=com-youtube,r=1,s=8,algo=ref,run=2	REF_peel_loop	270.169	471052	177144	0
graph=com-youtube,r=1,s=8,algo=ref,run=2	dispatch_total	40.6572	294116	-176936	0
graph=com-youtube,r=1,s=12,algo=ours,run=0	loadAndSort	1888.6	112020	109848	0
graph=com-youtube,r=1,s=12,algo=ours,run=0	buildSDCT	2700.94	121576	9556	363216
graph=com-youtube,r=1,s=12,algo=ours,run=0	preMutation	0.247557	121576	0	0
graph=com-youtube,r=1,s=12,algo=ours,run=0	prepareGraph	69.2445	102036	-19540	0
graph=com-youtube,r=1,s=12,algo=ours,run=0	dispatch_total	13.091	110808	8772	0
graph=com-youtube,r=1,s=12,algo=ours,run=1	loadAndSort	1664.65	111964	109804	0
graph=com-youtube,r=1,s=12,algo=ours,run=1	buildSDCT	2613.26	121520	9556	363216
graph=com-youtube,r=1,s=12,algo=ours,run=1	preMutation	0.238649	121520	0	0
graph=com-youtube,r=1,s=12,algo=ours,run=1	prepareGraph	69.107	101980	-19540	0
graph=com-youtube,r=1,s=12,algo=ours,run=1	dispatch_total	13.0033	110752	8772	0
graph=com-youtube,r=1,s=12,algo=ours,run=2	loadAndSort	1689.3	111864	109708	0
graph=com-youtube,r=1,s=12,algo=ours,run=2	buildSDCT	2919.57	121420	9556	363216
graph=com-youtube,r=1,s=12,algo=ours,run=2	preMutation	0.240583	121420	0	0
graph=com-youtube,r=1,s=12,algo=ours,run=2	prepareGraph	68.9491	101880	-19540	0
graph=com-youtube,r=1,s=12,algo=ours,run=2	dispatch_total	13.0368	110652	8772	0
graph=com-youtube,r=1,s=12,algo=ref,run=0	loadAndSort	1635.39	112032	109860	0
graph=com-youtube,r=1,s=12,algo=ref,run=0	buildSDCT	2602.08	183488	71456	363216
graph=com-youtube,r=1,s=12,algo=ref,run=0	preMutation	0.192652	183488	0	0
graph=com-youtube,r=1,s=12,algo=ref,run=0	prepareGraph	68.8857	164180	-19308	0
graph=com-youtube,r=1,s=12,algo=ref,run=0	REF_initSupports	2.06664	164180	0	9079128
graph=com-youtube,r=1,s=12,algo=ref,run=0	REF_heapBuild	41.3819	217244	53064	32321744
graph=com-youtube,r=1,s=12,algo=ref,run=0	REF_peel_loop	149.903	394652	177408	0
graph=com-youtube,r=1,s=12,algo=ref,run=0	dispatch_total	9.07236	217632	-177020	0
graph=com-youtube,r=1,s=12,algo=ref,run=1	loadAndSort	1645.97	111928	109772	0
graph=com-youtube,r=1,s=12,algo=ref,run=1	buildSDCT	2605.43	183384	71456	363216
graph=com-youtube,r=1,s=12,algo=ref,run=1	preMutation	0.192035	183384	0	0
