graph,r,s,algo,status,wall_ms,total_ms,step4_ms,peel_ms,hier_ms,mem_kB
com-dblp,3,6,REF,OK,4030.2,1933.1,,,,409048
com-dblp,3,7,REF,OK,3021.1,1713.1,,,,379056
com-dblp,3,8,REF,OK,4027.9,1761.0,,,,356948
com-dblp,3,9,REF,OK,3020.6,1691.2,,,,340428
com-dblp,3,10,REF,OK,4028.7,1820.5,,,,327192
com-dblp,7,10,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,8,10,ST,SKIP_TIMEOUT,,,,,,
com-dblp,8,10,V3,SKIP_TIMEOUT,,,,,,
com-dblp,8,10,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,9,10,ST,SKIP_TIMEOUT,,,,,,
com-dblp,9,10,V3,SKIP_TIMEOUT,,,,,,
com-dblp,9,10,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,3,11,REF,OK,3020.3,1710.6,,,,316552
com-dblp,4,5,REF,OK,41301.3,37300.3,,,,1957396
com-dblp,4,6,REF,OK,39287.5,34739.2,,,,1974596
com-dblp,4,7,REF,OK,42295.1,37632.3,,,,1951336
com-dblp,4,8,REF,OK,38265.6,35622.9,,,,1934972
com-dblp,4,9,REF,OK,42276.2,39381.1,,,,1868228
com-dblp,4,10,REF,OK,39248.8,36079.0,,,,1882164
com-dblp,4,11,REF,OK,40232.2,37030.0,,,,1849456
com-dblp,5,7,REF,OK,881122.1,840854.0,,,,28964180
com-dblp,5,9,REF,OK,911262.5,872758.0,,,,28952764
com-dblp,5,6,REF,OK,932398.6,892739.0,,,,28981272
com-dblp,5,8,REF,OK,929382.6,888603.0,,,,28946960
com-dblp,7,11,REF,OOM,,,,,,
com-dblp,6,11,V3_NP,OOM,,,,,,
com-dblp,6,11,V3,OOM,,,,,,
com-dblp,6,11,ST,OOM,,,,,,
com-dblp,6,11,REF,OOM,,,,,,
com-dblp,5,11,ST,OOM,,,,,,
com-dblp,5,11,REF,OOM,,,,,,
com-dblp,3,11,V3_NP,OOM,,,,,,
com-dblp,7,11,ST,SKIP_TIMEOUT,,,,,,
com-dblp,7,11,V3,SKIP_TIMEOUT,,,,,,
com-dblp,7,11,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,8,11,REF,SKIP_TIMEOUT,,,,,,
com-dblp,8,11,ST,SKIP_TIMEOUT,,,,,,
