graph,s,algo,status,wall_ms,total_ms,build_ms,peel_ms,hier_ms,mem_kB
web-Google,13,ST_V3_HIER,OK,7985.0,177.0,2617.4,48.2,128.8,276376
web-Google,15,ST_V3,OK,7864.8,27.6,2570.8,27.6,-1.0,252484
web-Google,15,ST_V3_HIER,OK,7758.0,100.2,2834.6,27.9,72.3,258112
twitter_combined,5,ST_V3,OK,35278.7,1468.4,31292.4,1468.4,-1.0,3306644
twitter_combined,5,ST_V3_HIER,OK,50370.5,16179.1,31325.0,1482.1,14696.9,4149316
twitter_combined,7,ST_V3,OK,56472.9,3245.3,51803.9,3245.2,-1.0,8621136
wiki-Talk,3,ST_V3,OK,50840.4,405.4,45248.5,403.2,-1.0,931184
wiki-Talk,3,ST_V3_HIER,OK,53860.5,4546.6,45155.2,400.0,4146.6,1625920
twitter_combined,9,ST_V3,OK,77737.5,4498.1,70668.3,4498.1,-1.0,13546132
twitter_combined,13,ST_V3,OK,77306.2,4394.2,70999.0,4394.2,-1.0,15066196
twitter_combined,11,ST_V3,OK,80756.6,4506.8,74159.4,4506.8,-1.0,15231428
twitter_combined,15,ST_V3,OK,80324.3,4135.1,72990.7,4135.1,-1.0,14639628
twitter_combined,7,ST_V3_HIER,OK,93369.4,39964.1,51399.2,3246.0,36718.1,10129276
twitter_combined,9,ST_V3_HIER,OK,126613.9,52808.0,70650.7,4407.7,48400.3,14584556
twitter_combined,13,ST_V3_HIER,OK,126385.1,53836.3,70961.9,4386.9,49449.4,15564348
soc-pokec-relationships,3,ST_V3,OK,46033.6,4397.1,22985.3,4397.0,-1.0,1482404
twitter_combined,15,ST_V3_HIER,OK,129703.3,52426.7,73982.3,4343.6,48083.1,14950640
wiki-Talk,5,ST_V3,OK,112900.5,2660.2,103720.0,2660.2,-1.0,7360732
twitter_combined,11,ST_V3_HIER,OK,133613.0,56081.3,74768.3,4563.2,51518.0,15876016
soc-pokec-relationships,3,ST_V3_HIER,OK,58931.7,17544.3,23390.8,4198.6,13345.7,3576408
wiki-Talk,15,ST_V3,OK,142708.2,5561.6,131962.0,5561.6,-1.0,15096828
web-it-2004,5,ST_V3,OK,136232.5,55.8,131144.0,55.8,-1.0,261108
web-it-2004,3,ST_V3,OK,142701.2,58.9,137357.0,58.9,-1.0,276448
web-it-2004,7,ST_V3,OK,139243.6,56.5,135435.0,56.5,-1.0,254444
web-it-2004,3,ST_V3_HIER,OK,139675.4,777.9,135567.0,71.7,706.2,371684
soc-pokec-relationships,9,ST_V3,OK,37353.1,269.6,20291.2,269.6,-1.0,650172
web-it-2004,7,ST_V3_HIER,OK,145617.1,685.9,139142.0,67.2,618.7,355420
soc-pokec-relationships,7,ST_V3,OK,43967.2,1282.7,23666.7,1282.7,-1.0,801680
web-it-2004,5,ST_V3_HIER,OK,145953.2,708.5,141802.0,67.3,641.1,369892
web-it-2004,9,ST_V3,OK,139820.1,65.0,135328.0,65.0,-1.0,248644
soc-pokec-relationships,5,ST_V3,OK,47539.5,3444.4,25590.7,3444.4,-1.0,1270208
soc-pokec-relationships,9,ST_V3_HIER,OK,40513.3,1218.2,21839.1,353.8,864.4,782684
soc-pokec-relationships,7,ST_V3_HIER,OK,44293.6,3782.1,24117.0,1234.7,2547.3,1160308
wiki-Talk,5,ST_V3_HIER,OK,160244.0,50591.0,104209.0,2679.0,47911.9,12676128
soc-pokec-relationships,5,ST_V3_HIER,OK,54261.7,10495.2,25458.6,3425.5,7069.6,2082456
wiki-Talk,7,ST_V3,OK,172682.4,8841.3,158020.0,8841.3,-1.0,26435080
wiki-Talk,13,ST_V3,OK,172037.6,8792.9,158558.0,8792.9,-1.0,26480564
soc-pokec-relationships,11,ST_V3,OK,38268.3,83.8,20886.5,83.7,-1.0,595340
web-it-2004,11,ST_V3,OK,137789.6,32.6,133550.0,32.6,-1.0,240736
web-it-2004,9,ST_V3_HIER,OK,147062.6,613.2,140031.0,51.0,562.1,341532
wiki-Talk,9,ST_V3,OK,181968.4,10485.0,167598.0,10484.9,-1.0,28428944
wiki-Talk,11,ST_V3,OK,181753.8,10044.8,165798.0,10044.8,-1.0,27082268
soc-pokec-relationships,13,ST_V3,OK,38502.7,34.4,20160.9,34.4,-1.0,570576
soc-pokec-relationships,13,ST_V3_HIER,OK,38398.3,131.8,20026.0,34.6,97.2,580416
soc-pokec-relationships,15,ST_V3,OK,38280.4,21.4,19847.1,21.4,-1.0,561472
soc-pokec-relationships,15,ST_V3_HIER,OK,38172.5,60.7,19902.1,20.7,38.8,561880
web-it-2004,11,ST_V3_HIER,OK,137804.2,526.1,130880.0,37.8,488.3,312088
soc-pokec-relationships,11,ST_V3_HIER,OK,44657.3,372.0,22227.6,91.6,280.3,637256
web-it-2004,13,ST_V3,OK,140689.4,31.7,136185.0,31.7,-1.0,240584
web-it-2004,13,ST_V3_HIER,OK,143596.2,458.8,139566.0,28.5,430.3,297760
web-it-2004,15,ST_V3_HIER,OK,140369.0,407.7,134642.0,23.7,384.0,300460
web-it-2004,15,ST_V3,OK,146520.5,22.1,141243.0,22.1,-1.0,240600
wiki-Talk,15,ST_V3_HIER,OK,208403.4,70266.1,132396.0,6933.5,63332.6,18949660
wiki-Talk,13,ST_V3_HIER,OK,269172.0,106579.0,156908.0,8706.5,97872.4,29206596
