graph,s,algo,phase,n_runs,time_ms,rss_kb,delta_rss_kb,component_bytes
web-it-2004,200,ours,buildSDCT,3,113825.000,175824,33624,129648
web-it-2004,200,ours,preMutation,3,0.296,175824,0,0
web-it-2004,200,ours,prepareGraph,3,82.643,162248,-13576,0
web-it-2004,200,ours,dispatch_total,3,26.078,182572,20384,0
web-it-2004,200,ref,loadAndSort,3,3406.130,142208,140072,0
web-it-2004,200,ref,buildSDCT,3,107495.000,203572,61364,129648
web-it-2004,200,ref,preMutation,3,0.221,203572,0,0
web-it-2004,200,ref,prepareGraph,3,82.427,190180,-13392,0
web-it-2004,200,ref,REF_initSupports,3,5.376,190180,0,4074712
web-it-2004,200,ref,REF_heapBuild,3,15.874,204168,13988,14455936
web-it-2004,200,ref,REF_peel_loop,3,108.455,279672,75504,0
web-it-2004,200,ref,dispatch_total,3,4.182,204300,-75372,0
web-it-2004,400,ours,loadAndSort,3,3408.610,142132,139952,0
web-it-2004,400,ours,buildSDCT,3,7849.580,142524,328,3120
web-it-2004,400,ours,preMutation,3,0.080,142524,0,0
web-it-2004,400,ours,prepareGraph,3,82.442,128948,-13576,0
web-it-2004,400,ours,dispatch_total,3,4.604,132964,4016,0
web-it-2004,400,ref,loadAndSort,3,3368.320,142244,140084,0
web-it-2004,400,ref,buildSDCT,3,7833.940,170284,28040,3120
web-it-2004,400,ref,preMutation,3,0.086,170284,0,0
web-it-2004,400,ref,prepareGraph,3,82.308,156876,-13372,0
web-it-2004,400,ref,REF_initSupports,3,0.568,156876,0,4074712
web-it-2004,400,ref,REF_heapBuild,3,12.392,160832,3956,14266144
web-it-2004,400,ref,REF_peel_loop,3,62.737,232376,71544,0
web-it-2004,400,ref,dispatch_total,3,3.616,160988,-71388,0
