r	status	wall_s	rss_mb	regions	merged_rc	patterns	total_rc	maxcore	mce	enum	build	peel
1	OK	0.70	141	36427	670	15069	18101	56	0.22	0.01	0.33	0.07
2	OK	1.47	372	34191	6098	151415	189716	55	0.22	0.05	0.48	0.58
3	OK	5.74	1288	27997	38966	848771	1306281	54	0.22	0.31	1.37	3.55
4	OK	33.42	6028	21665	311008	4535489	9263075	53	0.22	1.81	7.60	22.87
5	OK	193.22	12638	16733	2180720	22121370	62812309	52	0.22	10.06	49.11	126.97
6	TIMEOUT	240.00	0
7	TIMEOUT	240.00	0
56	OK	0.34	12	1	57	0	0	1
55	OK	0.26	12	2	1652	0	0	2
54	OK	0.25	12	2	30800	0	0	3
53	OK	0.27	12	3	422784	0	0	4
52	OK	0.25	11	4	4555880	0	0	5
51	OK	0.30	12	5	40134302	0	0	6
50	OK	0.32	11	5	297195275	0	0	7
49	OK	0.26	11	5	1887806310	0	0	8
48	OK	0.28	8	6	10445924174	0	0	9
47	OK	0.26	8	6	50961646456	0	0	10
46	OK	0.27	8	9	221331304195	0	0	11
45	OK	0.26	12	10	862525996555	0	0	12
44	OK	0.28	12	12	3035796168524	0	0	13
43	OK	0.29	11	15	2008828296215	33	7694644696286	14	0.26	0.00	0.00	0.00
42	OK	0.25	12	21	6239873323902	204	22057981465359	15	0.23	0.00	0.00	0.00
41	OK	0.24	9	25	17689097326873	226	57902201380234	16	0.22	0.00	0.00	0.00
40	OK	0.25	12	28	45944350818031	693	139646487244695	17	0.23	0.00	0.00	0.00
39	OK	0.27	12	31	109700077885911	728	310325535243834	18	0.25	0.00	0.00	0.00
38	OK	0.30	12	43	241475759037968	793	636984038327765	19	0.28	0.00	0.00	0.00
37	OK	0.26	12	48	491244413726673	1232	1210269893293706	20	0.24	0.00	0.00	0.00
36	OK	0.27	13	54	925514300003367	2229	2132398612240353	21	0.24	0.00	0.00	0.00
35	OK	0.34	17	65	1595829975536869	9516	3511352181296200	22	0.29	0.01	0.01	0.01
34	OK	0.31	25	69	2584908599301603	15527	5352710276458210	23	0.24	0.01	0.01	0.03
33	OK	0.30	30	78	3894155869530644	20052	7599087241251455	24	0.24	0.01	0.01	0.02
32	OK	4.20	681	88	5461610166354513	809549	10056613556421986	25	0.30	1.11	0.90	1.75
31	OK	5.28	1014	111	7137637088572792	1132730	12415267789288195	26	0.23	1.59	1.02	2.28
30	OK	48.08	3555	135	8694474585446208	7610188	14309215382115884	27	0.23	11.16	10.51	24.29
29	TIMEOUT	240.00	0
28	TIMEOUT	240.00	0
# INFEASIBLE-BAND (current engine, per-row timeout 240s): r in [6, 29]
# NOTE: rows 6/7 + 28/29 aborted by timeout; the first (unguarded) run OOMed the machine at r=6/7.
# Reconstructed from the session transcript after /tmp was cleared by the OOM reboot.
