method,median,mean,top10,top100,n_F1>=0.3,n_F1>=0.5,n_F1>=0.7
k-core,0.00017122066149783934,0.000840358804607006,0.10510168640430231,0.024895691743411975,1,0,0
"(1,10)-core",7.339558698620953e-05,0.0007472948481613422,0.10162985003148006,0.023849139622497618,1,0,0
"(2,10)-core",7.332784417496845e-05,0.000761431949796467,0.11293442629752573,0.024707140136907904,1,0,0
"(3,10)-core",7.339558698620953e-05,0.0007473274774919948,0.10163008235217275,0.023849539774196793,1,0,0
