graph,base_edges,ratio,kept_edges,s,algorithm,run,time_ms,memory_kB,status
soc-pokec-relationships,22301964,0.8,14261464,15,REF_R1,0,225.3,511908,OK
soc-pokec-relationships,22301964,1.0,22301964,2,Ours_ST,0,4982.1,3404796,OK
soc-pokec-relationships,22301964,1.0,22301964,2,REF_R1,0,9400.6,4903576,OK
soc-pokec-relationships,22301964,1.0,22301964,3,Ours_ST,0,6873.0,3668284,OK
soc-pokec-relationships,22301964,1.0,22301964,3,REF_R1,0,12885.4,4783812,OK
soc-pokec-relationships,22301964,1.0,22301964,5,Ours_ST,0,3786.9,2366808,OK
soc-pokec-relationships,22301964,1.0,22301964,5,REF_R1,0,7082.2,2880840,OK
soc-pokec-relationships,22301964,1.0,22301964,7,Ours_ST,0,1467.8,1254240,OK
soc-pokec-relationships,22301964,1.0,22301964,7,REF_R1,0,3090.4,1565276,OK
soc-pokec-relationships,22301964,1.0,22301964,9,Ours_ST,0,497.7,727212,OK
soc-pokec-relationships,22301964,1.0,22301964,9,REF_R1,0,1389.4,1000952,OK
soc-pokec-relationships,22301964,1.0,22301964,11,Ours_ST,0,176.2,562460,OK
soc-pokec-relationships,22301964,1.0,22301964,11,REF_R1,0,722.2,811284,OK
soc-pokec-relationships,22301964,1.0,22301964,13,Ours_ST,0,74.7,486236,OK
soc-pokec-relationships,22301964,1.0,22301964,13,REF_R1,0,450.3,739148,OK
soc-pokec-relationships,22301964,1.0,22301964,15,Ours_ST,0,32.6,465836,OK
soc-pokec-relationships,22301964,1.0,22301964,15,REF_R1,0,339.0,707928,OK
