dataset,s,r,cmd,timestamp,tree_build_ms,clique_index_ms,prog_time_ms,num_leaves,max_rss_kb,exit_status,dataset_name
/data1/wenqianz/web-it-2004.edges,3,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 3,2025-08-29 07:29:49,127918.0,,1912.0,907668,3895968,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,4,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 4,2025-08-29 07:32:03,127224.0,,1699.0,757860,3396436,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,5,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 5,2025-08-29 07:34:17,128196.0,,1625.0,705801,3217740,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,6,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 6,2025-08-29 07:36:31,127029.0,,1579.0,654593,3045076,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,7,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 7,2025-08-29 07:38:44,128991.0,,1494.0,604057,2872256,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,8,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 8,2025-08-29 07:40:58,129097.0,,1435.0,553507,2695368,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,9,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 9,2025-08-29 07:43:13,128323.0,,1343.0,502794,2514304,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,10,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 10,2025-08-29 07:45:27,129177.0,,1313.0,447081,2310936,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,11,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 11,2025-08-29 07:47:41,127083.0,,1221.0,379715,2064320,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,12,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 12,2025-08-29 07:49:54,126103.0,,1131.0,339235,1916376,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,13,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 13,2025-08-29 07:52:05,129156.0,,1052.0,298359,1761044,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,14,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 14,2025-08-29 07:54:19,127384.0,,1026.0,256629,1603412,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,15,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 15,2025-08-29 07:56:31,128260.0,,916.0,212866,1448452,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,16,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 16,2025-08-29 07:58:45,129424.0,,814.0,165635,1277788,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,17,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 17,2025-08-29 08:00:59,126157.0,,742.0,119832,1104472,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,3,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 3,2025-08-29 08:18:56,126169.0,,1903.0,907668,3895972,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,4,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 4,2025-08-29 08:21:08,124552.0,,1701.0,757860,3396444,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,5,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 5,2025-08-29 08:23:19,123035.0,,1633.0,705801,3217720,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,6,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 6,2025-08-29 08:25:28,127711.0,,1593.0,654593,3044984,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,7,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 7,2025-08-29 08:27:41,123395.0,,1502.0,604057,2872180,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,8,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 8,2025-08-29 08:29:50,143105.0,,1459.0,553507,2695372,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,9,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 9,2025-08-29 08:32:19,142664.0,,1344.0,502794,2514328,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,10,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 10,2025-08-29 08:34:47,143739.0,,1323.0,447081,2310956,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,11,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 11,2025-08-29 08:37:16,150943.0,,1229.0,379715,2064372,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,12,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 12,2025-08-29 08:39:53,125520.0,,1143.0,339235,1916444,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,3,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 3,2025-08-29 08:42:37,137359.0,,1894.0,907668,3895992,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,4,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 4,2025-08-29 08:45:00,141103.0,,1713.0,757860,3396460,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,5,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 5,2025-08-29 08:47:27,128729.0,,1634.0,705801,3217708,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,6,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 6,2025-08-29 08:49:42,133706.0,,1599.0,654593,3044980,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,7,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 7,2025-08-29 08:52:01,126999.0,,1497.0,604057,2872272,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,8,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 8,2025-08-29 08:54:14,152292.0,,1416.0,553507,2695476,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,9,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 9,2025-08-29 08:56:52,123140.0,,1349.0,502794,2514252,0,web-it-2004
/data1/wenqianz/web-it-2004.edges,10,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-it-2004.edges 1 10,2025-08-29 08:59:01,130889.0,,1318.0,447081,2311080,0,web-it-2004
