u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
230,17429,0,0,1625,32782,1,3724,13,865224.0,
9989,22043,0,0,0,0,0,0,0,1.0,
2748,7848,0,0,0,0,0,0,0,1.0,
4196,10656,0,0,1462,31606,1,3703,3,847811.0,
345,1393,0,0,0,0,0,0,0,7.0,
717,3012,0,0,0,0,0,0,0,2.0,
3643,16313,0,0,6,396,1,172,3,808189.0,
6458,41952,0,0,0,0,0,0,0,1.0,
2123,12392,0,0,0,0,0,0,0,1.0,
525,3917,0,0,327,17202,1,1142,1,1064578.0,
3981,19516,0,0,0,0,0,0,0,8.0,
36875,36876,0,0,6,38,1,10,6,620.0,
22860,38743,0,0,0,0,0,0,0,2.0,
13766,33511,0,0,0,0,0,0,0,1.0,
491,1144,0,0,1298,30255,1,2804,22,848071.0,
18138,27848,0,0,2,104,1,60,1,326266.0,
1103,4028,0,0,0,0,0,0,0,4.0,
1954,5022,0,0,686,23625,1,3322,2,934601.0,
11582,22344,0,0,0,0,0,0,0,1.0,
9152,58268,0,0,0,0,0,0,0,1.0,
1677,5915,0,0,146,12543,1,3823,1,1095499.0,
2211,11077,0,0,0,0,0,0,0,5.0,
3483,12748,0,0,721,24147,1,3943,1,922673.0,
2455,3136,0,0,0,0,0,0,0,1.0,
215,49748,0,0,0,0,0,0,0,1.0,
647,5202,0,0,483,19949,1,3701,1,1044072.0,
559,724,0,0,998,27860,1,4001,6,813085.0,
108,6788,0,0,0,0,0,0,0,4.0,
1244,11938,0,0,0,0,0,0,0,2.0,
27,768,0,0,1251,29731,1,4337,51,894585.0,
5558,67831,0,0,0,0,0,0,0,1.0,
4280,26691,0,0,0,0,0,0,0,1.0,
569,611,0,0,752,24910,1,899,0,869634.0,
5600,31696,0,0,0,0,0,0,0,1.0,
540,4515,0,0,378,18666,1,1984,3,1086528.0,
14,2334,0,0,0,0,0,0,0,2.0,
121,7308,0,0,0,0,0,0,0,6.0,
17234,51565,0,0,0,0,0,0,0,1.0,
8073,10504,0,0,0,0,0,0,0,3.0,
98,1222,0,0,2,492,1,310,1,840314.0,
566,28015,0,0,0,0,0,0,0,1.0,
114,16721,0,0,333,17425,1,4104,1,1091482.0,
41,651,0,0,971,27322,1,4652,8,849216.0,
1174,3551,0,0,1491,31085,1,4221,31,857839.0,
121,4467,0,0,0,0,0,0,0,5.0,
3411,6605,0,0,2,182,1,6,1,630254.0,
611,1960,0,0,1218,29846,1,3937,25,827102.0,
785,3104,0,0,973,27341,1,1556,9,827621.0,
11329,17142,0,0,2,49,1,24,1,828160.0,
2895,7642,0,0,0,0,0,0,0,1.0,
529,20639,0,0,0,0,0,0,0,3.0,
3981,4203,0,0,0,0,0,0,0,3.0,
237,11780,0,0,0,0,0,0,0,17.0,
20897,25231,0,0,4,83,1,6,3,838966.0,
4864,5157,0,0,10,1339,1,655,1,572218.0,
4971,12188,0,0,721,24155,1,3297,2,911685.0,
2720,3842,0,0,920,26931,1,5766,1,790366.0,
628,4163,0,0,0,0,0,0,0,1.0,
2723,5909,0,0,2,195,1,2,1,606036.0,
1992,12734,0,0,1194,29492,1,1349,1,824648.0,
445,5462,0,0,0,0,0,0,0,1.0,
159,1867,0,0,1277,29994,1,5759,69,854095.0,
163,17575,0,0,0,0,0,0,0,4.0,
9886,21645,0,0,0,0,0,0,0,1.0,
2157,2344,0,0,0,0,0,0,0,2.0,
1472,2776,0,0,1477,31051,1,2107,21,839715.0,
2125,8551,0,0,0,0,0,0,0,5.0,
2029,9448,0,0,0,0,0,0,0,5.0,
2657,4962,0,0,1032,28162,1,4048,1,814776.0,
22547,22782,0,0,0,0,0,0,0,1.0,
86,1527,0,0,774,24997,1,2751,3,864584.0,
11707,18138,0,0,1501,31153,1,2221,13,804915.0,
9455,16705,0,0,0,0,0,0,0,7.0,
8918,36208,0,0,0,0,0,0,0,2.0,
167,3779,0,0,1266,29967,1,1524,1,820422.0,
100,3181,0,0,807,25389,1,6337,11,882822.0,
1967,4974,0,0,1604,32643,1,2549,1,839692.0,
22310,37104,0,0,7,5,1,7,7,582.0,
1269,3237,0,0,2,156,1,43,1,796199.0,
