dataset_name,s,r,total_sec,max_rss_mb,exit_status,source
com-dblp,3,1,4.06,86.5625,0,Nuclear-NO
com-dblp,3,1,12.8,124.15234375,0,Nuclear-YES
com-dblp,4,1,62.83,72.8046875,0,Nuclear-NO
com-dblp,4,1,80.4,133.74609375,0,Nuclear-YES
com-dblp,4,2,127.19,139.26171875,0,Nuclear-NO
com-dblp,4,2,321.32,175.79296875,0,Nuclear-YES
com-dblp,4,3,114.94,317.40234375,0,Nuclear-NO
com-dblp,4,3,685.81,337.01953125,0,Nuclear-YES
com-youtube,3,1,166.48,273.0390625,0,Nuclear-NO
com-youtube,3,1,208.5,352.99609375,0,Nuclear-YES
com-youtube,4,1,1507.26,230.6953125,0,Nuclear-NO
com-youtube,4,1,1534.27,432.10546875,0,Nuclear-YES
com-youtube,4,2,163.04,408.0703125,0,Nuclear-NO
com-youtube,4,2,242.28,721.46484375,0,Nuclear-YES
com-youtube,4,3,211.22,735.7890625,0,Nuclear-NO
com-youtube,4,3,319.59,862.39453125,0,Nuclear-YES
soc-pokec-relationships,3,1,603.91,1217.50390625,0,Nuclear-NO
soc-pokec-relationships,3,1,674.84,1783.66796875,0,Nuclear-YES
soc-pokec-relationships,4,1,2700.81,877.7890625,0,Nuclear-NO
soc-pokec-relationships,4,1,2806.85,2487.6796875,0,Nuclear-YES
soc-pokec-relationships,4,2,1237.66,2371.16015625,0,Nuclear-NO
soc-pokec-relationships,4,2,7374.29,3625.47265625,0,Nuclear-YES
soc-pokec-relationships,4,3,561.13,5353.328125,0,Nuclear-NO
soc-pokec-relationships,4,3,18756.01,6177.58203125,0,Nuclear-YES
web-Google,3,1,83.26,298.01953125,0,Nuclear-NO
web-Google,3,1,192.79,513.44140625,0,Nuclear-YES
web-Google,4,1,689.76,233.42578125,0,Nuclear-NO
web-Google,4,1,946.34,1397.41796875,0,Nuclear-YES
web-Google,4,2,198.2,509.1328125,0,Nuclear-NO
web-Google,4,2,1102.46,1371.4453125,0,Nuclear-YES
web-Google,4,3,246.05,1443.91796875,0,Nuclear-NO
web-Google,4,3,2932.24,1799.24609375,0,Nuclear-YES
web-Stanford,3,1,595.87,125.66796875,0,Nuclear-NO
web-Stanford,3,1,622.72,426.4375,0,Nuclear-YES
web-Stanford,4,1,9829.25,110.69921875,0,Nuclear-NO
web-Stanford,4,1,9963.54,3510.44921875,0,Nuclear-YES
web-Stanford,4,2,2126.33,226.40234375,0,Nuclear-NO
web-Stanford,4,2,2414.02,3596.87890625,0,Nuclear-YES
web-Stanford,4,3,1508.41,888.1640625,0,Nuclear-NO
web-Stanford,4,3,1903.91,2012.703125,0,Nuclear-YES
web-it-2004,3,1,1112.31,390.01171875,0,Nuclear-NO
web-it-2004,3,1,1278.34,839.3984375,0,Nuclear-YES
