dataset_name,s,r,total_sec,max_rss_mb,exit_status,source
web-it-2004,3,1,129.83,3804.65625,0,CBS
web-it-2004,4,1,128.923,3316.83203125,0,CBS
web-it-2004,5,1,129.821,3142.32421875,0,CBS
web-it-2004,6,1,128.608,2973.70703125,0,CBS
web-it-2004,7,1,130.485,2804.9375,0,CBS
web-it-2004,8,1,130.532,2632.1953125,0,CBS
web-it-2004,9,1,129.666,2455.375,0,CBS
web-it-2004,10,1,130.49,2256.7734375,0,CBS
web-it-2004,11,1,128.304,2015.9375,0,CBS
web-it-2004,12,1,127.234,1871.4609375,0,CBS
web-it-2004,13,1,130.208,1719.76953125,0,CBS
web-it-2004,14,1,128.41,1565.83203125,0,CBS
web-it-2004,15,1,129.176,1414.50390625,0,CBS
web-it-2004,16,1,130.238,1247.83984375,0,CBS
web-it-2004,17,1,126.899,1078.5859375,0,CBS
web-it-2004,3,1,128.072,3804.66015625,0,CBS
web-it-2004,4,1,126.253,3316.83984375,0,CBS
web-it-2004,5,1,124.668,3142.3046875,0,CBS
web-it-2004,6,1,129.304,2973.6171875,0,CBS
web-it-2004,7,1,124.897,2804.86328125,0,CBS
web-it-2004,8,1,144.564,2632.19921875,0,CBS
web-it-2004,9,1,144.008,2455.3984375,0,CBS
web-it-2004,10,1,145.062,2256.79296875,0,CBS
web-it-2004,11,1,152.172,2015.98828125,0,CBS
web-it-2004,12,1,126.663,1871.52734375,0,CBS
web-it-2004,3,1,139.253,3804.6796875,0,CBS
web-it-2004,4,1,142.816,3316.85546875,0,CBS
web-it-2004,5,1,130.363,3142.29296875,0,CBS
web-it-2004,6,1,135.305,2973.61328125,0,CBS
web-it-2004,7,1,128.496,2804.953125,0,CBS
web-it-2004,8,1,153.708,2632.30078125,0,CBS
web-it-2004,9,1,124.489,2455.32421875,0,CBS
web-it-2004,10,1,132.207,2256.9140625,0,CBS
web-it-2004,11,1,131.39,2016.05078125,0,CBS
web-it-2004,12,1,135.1,1871.5390625,0,CBS
web-it-2004,13,1,147.786,1719.84765625,0,CBS
web-it-2004,14,1,147.606,1565.85546875,0,CBS
web-it-2004,15,1,152.182,1414.38671875,0,CBS
web-it-2004,16,1,150.783,1247.72265625,0,CBS
web-it-2004,17,1,138.93,1078.73046875,0,CBS
web-it-2004,18,1,148.618,1025.4140625,0,CBS
web-it-2004,19,1,127.979,990.3046875,0,CBS
web-it-2004,20,1,137.469,970.33984375,0,CBS
web-it-2004,21,1,151.712,956.1171875,0,CBS
web-it-2004,22,1,152.622,945.34765625,0,CBS
web-it-2004,23,1,124.24,938.3671875,0,CBS
web-it-2004,24,1,124.693,932.49609375,0,CBS
web-it-2004,25,1,123.332,925.8046875,0,CBS
web-it-2004,26,1,144.392,921.26953125,0,CBS
web-it-2004,27,1,132.723,917.0546875,0,CBS
web-it-2004,28,1,128.483,912.6015625,0,CBS
web-it-2004,29,1,152.659,908.609375,0,CBS
web-it-2004,30,1,152.334,904.72265625,0,CBS
web-it-2004,4,2,243.168,15173.609375,0,CBS
web-it-2004,5,2,227.325,14669.9140625,0,CBS
web-it-2004,6,2,228.743,14178.13671875,0,CBS
web-it-2004,7,2,227.415,13717.26171875,0,CBS
web-it-2004,8,2,232.807,13192.14453125,0,CBS
web-it-2004,9,2,229.567,12728.60546875,0,CBS
web-it-2004,10,2,288.843,11680.046875,0,CBS
web-it-2004,11,2,470.067,10973.88671875,0,CBS
web-it-2004,12,2,513.849,10318.47265625,0,CBS
web-it-2004,13,2,402.03,10031.33203125,0,CBS
web-it-2004,14,2,433.483,9715.01171875,0,CBS
web-it-2004,15,2,423.202,9067.0234375,0,CBS
web-it-2004,16,2,436.982,8948.97265625,0,CBS
web-it-2004,17,2,377.241,7768.89453125,0,CBS
web-it-2004,18,2,374.574,8092.36328125,0,CBS
web-it-2004,19,2,476.513,8129.9140625,0,CBS
web-it-2004,20,2,468.823,8646.88671875,0,CBS
web-it-2004,21,2,339.466,7156.7578125,0,CBS
web-it-2004,22,2,551.993,9401.51953125,0,CBS
web-it-2004,23,2,486.583,7540.4296875,0,CBS
web-it-2004,24,2,554.696,7270.77734375,0,CBS
web-it-2004,25,2,423.186,8044.3984375,0,CBS
web-it-2004,26,2,507.958,8715.953125,0,CBS
web-it-2004,27,2,512.931,7339.5078125,0,CBS
web-it-2004,28,2,494.639,7551.6484375,0,CBS
web-it-2004,29,2,449.972,8334.609375,0,CBS
com-dblp,3,1,1.698473,1691.1328125,0,CBS
com-dblp,4,1,1.266786,937.09765625,0,CBS
com-dblp,5,1,0.9826159999999999,529.65234375,0,CBS
com-dblp,6,1,0.843896,340.3203125,0,CBS
com-dblp,7,1,0.7670130000000001,249.94921875,0,CBS
com-dblp,8,1,0.72848,202.84765625,0,CBS
com-dblp,9,1,0.637015,175.99609375,0,CBS
com-dblp,10,1,0.557023,159.24609375,0,CBS
com-dblp,11,1,0.685492,148.10546875,0,CBS
com-dblp,12,1,0.55604,140.18359375,0,CBS
com-dblp,13,1,0.665927,134.0859375,0,CBS
com-dblp,14,1,0.668517,129.91015625,0,CBS
com-dblp,15,1,0.660624,126.3359375,0,CBS
com-dblp,16,1,0.661673,124.5078125,0,CBS
com-dblp,17,1,0.661381,124.0703125,0,CBS
com-dblp,18,1,0.656734,123.87890625,0,CBS
com-dblp,19,1,0.6569740000000001,123.54296875,0,CBS
com-dblp,20,1,0.6212089999999999,123.4921875,0,CBS
com-dblp,21,1,0.654586,123.12109375,0,CBS
com-dblp,22,1,0.660621,122.8984375,0,CBS
com-dblp,23,1,0.662841,122.58984375,0,CBS
com-dblp,24,1,0.6551269999999999,122.55078125,0,CBS
com-dblp,25,1,0.6504099999999999,122.29296875,0,CBS
com-dblp,26,1,0.654202,122.265625,0,CBS
com-dblp,27,1,0.6556810000000001,121.96875,0,CBS
com-dblp,28,1,0.650731,121.95703125,0,CBS
com-dblp,29,1,0.6549400000000001,121.96484375,0,CBS
com-dblp,30,1,0.651695,121.90625,0,CBS
com-dblp,4,2,2.532151,2553.19140625,0,CBS
com-dblp,5,2,1.8782849999999998,1381.19921875,0,CBS
com-dblp,6,2,1.488569,834.96875,0,CBS
com-dblp,7,2,1.052406,576.8203125,0,CBS
com-dblp,8,2,0.95548,442.5625,0,CBS
com-dblp,9,2,0.865386,365.8671875,0,CBS
com-dblp,10,2,0.833376,318.8359375,0,CBS
com-dblp,11,2,0.7908630000000001,287.30078125,0,CBS
com-dblp,12,2,0.944907,265.45703125,0,CBS
com-dblp,13,2,0.928948,249.02734375,0,CBS
com-dblp,14,2,0.736677,236.98828125,0,CBS
com-dblp,15,2,0.9102129999999999,227.92578125,0,CBS
com-dblp,16,2,0.926684,226.2265625,0,CBS
com-dblp,17,2,0.9289740000000001,225.984375,0,CBS
com-dblp,18,2,0.918442,225.71875,0,CBS
com-dblp,19,2,0.9575929999999999,225.31640625,0,CBS
com-dblp,20,2,0.952196,225.390625,0,CBS
com-dblp,21,2,0.8922599999999999,225.05859375,0,CBS
